#SN	RA	DEC	ZHEL	ZCMB	PASS
sim_sne/71	0.0	0.0	0.297708	0.297708	True
sim_sne/72	0.0	0.0	0.297708	0.297708	True
sim_sne/73	0.0	0.0	0.297708	0.297708	True
sim_sne/74	0.0	0.0	0.297708	0.297708	True
sim_sne/75	0.0	0.0	0.297708	0.297708	True
sim_sne/76	0.0	0.0	0.297708	0.297708	True
sim_sne/77	0.0	0.0	0.297708	0.297708	True
sim_sne/78	0.0	0.0	0.297708	0.297708	True
sim_sne/79	0.0	0.0	0.297708	0.297708	True
sim_sne/8	0.0	0.0	0.297708	0.297708	True
sim_sne/80	0.0	0.0	0.297708	0.297708	True
sim_sne/81	0.0	0.0	0.297708	0.297708	True
sim_sne/82	0.0	0.0	0.297708	0.297708	True
sim_sne/83	0.0	0.0	0.297708	0.297708	True
sim_sne/84	0.0	0.0	0.297708	0.297708	True
sim_sne/85	0.0	0.0	0.297708	0.297708	True
sim_sne/86	0.0	0.0	0.297708	0.297708	True
sim_sne/87	0.0	0.0	0.297708	0.297708	True
sim_sne/88	0.0	0.0	0.297708	0.297708	True
sim_sne/89	0.0	0.0	0.297708	0.297708	True
sim_sne/9	0.0	0.0	0.297708	0.297708	True
sim_sne/90	0.0	0.0	0.297708	0.297708	False
sim_sne/91	0.0	0.0	0.297708	0.297708	True
sim_sne/92	0.0	0.0	0.297708	0.297708	True
sim_sne/93	0.0	0.0	0.297708	0.297708	True
sim_sne/94	0.0	0.0	0.297708	0.297708	True
sim_sne/95	0.0	0.0	0.297708	0.297708	True
sim_sne/96	0.0	0.0	0.297708	0.297708	True
sim_sne/97	0.0	0.0	0.297708	0.297708	True
sim_sne/98	0.0	0.0	0.297708	0.297708	True
sim_sne/99	0.0	0.0	0.297708	0.297708	True
